Month,Period,Total_Deployments,Autonomous_Deployments,Manual_Approval_Required,Deployment_Autonomy_Percent,Avg_Approval_Wait_Hours,Total_Wait_Time_Hours,CI_CD_Pipeline_Success_Rate
2025-01,Baseline,7,2,5,28.57,4.2,21.0,71.43
2025-02,Baseline,6,2,4,33.33,3.8,15.2,75.00
2025-03,Baseline,6,2,4,33.33,4.0,16.0,83.33
2025-04,Transition,9,4,5,44.44,3.2,16.0,88.89
2025-05,Transition,11,6,5,54.55,2.8,14.0,90.91
2025-06,Transition,13,9,4,69.23,2.2,8.8,92.31
2025-07,Post-Implementation,15,13,2,86.67,1.5,3.0,93.33
2025-08,Post-Implementation,17,15,2,88.24,1.2,2.4,94.12
2025-09,Post-Implementation,18,16,2,88.89,1.0,2.0,94.44
2025-10,Post-Implementation,19,16,3,84.21,1.3,3.9,94.74
2025-11,Post-Implementation,17,15,2,88.24,1.1,2.2,94.12
2025-12,Post-Implementation,20,18,2,90.00,0.9,1.8,95.00
